"","wl","temperature","value","hexvis"
"322",521,"1500",0.00658336054418146,"#4A1700"
"323",522,"1500",0.00675472922336048,"#4A1700"
"324",523,"1500",0.00692975078034397,"#4A1700"
"325",524,"1500",0.00710848352199733,"#4A1700"
"326",525,"1500",0.00729098629328337,"#4A1700"
"327",526,"1500",0.00747731847586407,"#4A1700"
"328",527,"1500",0.00766753998660501,"#4A1700"
"329",528,"1500",0.00786171127598306,"#4A1700"
"330",529,"1500",0.00805989332639704,"#4A1700"
"331",530,"1500",0.00826214765038162,"#4A1700"
"332",531,"1500",0.00846853628872461,"#4A1700"
"333",532,"1500",0.00867912180848786,"#4A1700"
"334",533,"1500",0.00889396730093203,"#4A1700"
"335",534,"1500",0.00911313637934537,"#4A1700"
"336",535,"1500",0.00933669317677673,"#4A1700"
"337",536,"1500",0.00956470234367346,"#4A1700"
"338",537,"1500",0.00979722904542387,"#4A1700"
"339",538,"1500",0.0100343389598056,"#4A1700"
"340",539,"1500",0.0102760982743389,"#4A1700"
"341",540,"1500",0.0105225736835464,"#4A1700"
"342",541,"1500",0.0107738323861195,"#4A1700"
"343",542,"1500",0.0110299420819916,"#4A1700"
"344",543,"1500",0.011290970969318,"#4A1700"
"345",544,"1500",0.0115569877413652,"#4A1700"
"346",545,"1500",0.0118280615833071,"#4A1700"
"347",546,"1500",0.0121042621689306,"#4A1700"
"348",547,"1500",0.0123856596572517,"#4A1700"
"349",548,"1500",0.01267232468904,"#4A1700"
"350",549,"1500",0.0129643283832551,"#4A1700"
"351",550,"1500",0.0132617423333939,"#4A1700"
"352",551,"1500",0.0135646386037497,"#4A1700"
"353",552,"1500",0.0138730897255844,"#4A1700"
"354",553,"1500",0.0141871686932135,"#4A1700"
"355",554,"1500",0.0145069489600052,"#4A1700"
"356",555,"1500",0.0148325044342948,"#4A1700"
"357",556,"1500",0.0151639094752137,"#4A1700"
"358",557,"1500",0.0155012388884354,"#4A1700"
"359",558,"1500",0.015844567921838,"#4A1700"
"360",559,"1500",0.016193972261085,"#4A1700"
"361",560,"1500",0.0165495280251246,"#4A1700"
"362",561,"1500",0.0169113117616083,"#4A1700"
"363",562,"1500",0.0172794004422299,"#4A1700"
"364",563,"1500",0.0176538714579862,"#4A1700"
"365",564,"1500",0.0180348026143588,"#4A1700"
"366",565,"1500",0.0184222721264206,"#4A1700"
"367",566,"1500",0.018816358613864,"#4A1700"
"368",567,"1500",0.0192171410959562,"#4A1700"
"369",568,"1500",0.0196246989864185,"#4A1700"
"370",569,"1500",0.020039112088234,"#4A1700"
"371",570,"1500",0.0204604605883814,"#4A1700"
"372",571,"1500",0.020888825052499,"#4A1700"
"373",572,"1500",0.0213242864194778,"#4A1700"
"374",573,"1500",0.0217669259959853,"#4A1700"
"375",574,"1500",0.0222168254509215,"#4A1700"
"376",575,"1500",0.0226740668098074,"#4A1700"
"377",576,"1500",0.0231387324491074,"#4A1700"
"378",577,"1500",0.0236109050904873,"#4A1700"
"379",578,"1500",0.0240906677950074,"#4A1700"
"380",579,"1500",0.0245781039572535,"#4A1700"
"381",580,"1500",0.0250732972994062,"#4A1700"
"382",581,"1500",0.0255763318652484,"#4A1700"
"383",582,"1500",0.0260872920141149,"#4A1700"
"384",583,"1500",0.0266062624147822,"#4A1700"
"385",584,"1500",0.0271333280393023,"#4A1700"
"386",585,"1500",0.0276685741567788,"#4A1700"
"387",586,"1500",0.0282120863270901,"#4A1700"
"388",587,"1500",0.0287639503945564,"#4A1700"
"389",588,"1500",0.0293242524815559,"#4A1700"
"390",589,"1500",0.0298930789820886,"#4A1700"
"391",590,"1500",0.0304705165552906,"#4A1700"
"392",591,"1500",0.0310566521188978,"#4A1700"
"393",592,"1500",0.0316515728426635,"#4A1700"
"394",593,"1500",0.032255366141728,"#4A1700"
"395",594,"1500",0.0328681196699424,"#4A1700"
"396",595,"1500",0.0334899213131502,"#4A1700"
"397",596,"1500",0.0341208591824228,"#4A1700"
"398",597,"1500",0.0347610216072552,"#4A1700"
"399",598,"1500",0.0354104971287204,"#4A1700"
"400",599,"1500",0.0360693744925841,"#4A1700"
"401",600,"1500",0.0367377426423815,"#4A1700"
"402",601,"1500",0.0374156907124564,"#4A1700"
"403",602,"1500",0.0381033080209656,"#4A1700"
"404",603,"1500",0.0388006840628478,"#4A1700"
"405",604,"1500",0.0395079085027593,"#4A1700"
"406",605,"1500",0.0402250711679778,"#4A1700"
"407",606,"1500",0.0409522620412753,"#4A1700"
"408",607,"1500",0.0416895712537607,"#4A1700"
"409",608,"1500",0.0424370890776954,"#4A1700"
"410",609,"1500",0.0431949059192797,"#4A1700"
"411",610,"1500",0.0439631123114154,"#4A1700"
"412",611,"1500",0.0447417989064415,"#4A1700"
"413",612,"1500",0.0455310564688476,"#4A1700"
"414",613,"1500",0.0463309758679656,"#4A1700"
"415",614,"1500",0.0471416480706384,"#4A1700"
"416",615,"1500",0.0479631641338701,"#4A1700"
"417",616,"1500",0.0487956151974582,"#4A1700"
"418",617,"1500",0.0496390924766063,"#4A1700"
"419",618,"1500",0.050493687254522,"#4A1700"
"420",619,"1500",0.0513594908749998,"#4A1700"
"421",620,"1500",0.0522365947349897,"#4A1700"
"422",621,"1500",0.0531250902771535,"#4A1700"
"423",622,"1500",0.0540250689824098,"#4A1700"
"424",623,"1500",0.0549366223624679,"#4A1700"
"425",624,"1500",0.0558598419523539,"#4A1700"
"426",625,"1500",0.0567948193029283,"#4A1700"
"427",626,"1500",0.0577416459733964,"#4A1700"
"428",627,"1500",0.0587004135238154,"#4A1700"
"429",628,"1500",0.059671213507594,"#4A1700"
"430",629,"1500",0.0606541374639907,"#4A1700"
"431",630,"1500",0.0616492769106103,"#4A1700"
"432",631,"1500",0.0626567233358986,"#4A1700"
"433",632,"1500",0.0636765681916381,"#4A1700"
"434",633,"1500",0.0647089028854443,"#4A1700"
"435",634,"1500",0.0657538187732661,"#4A1700"
"436",635,"1500",0.066811407151887,"#4A1700"
"437",636,"1500",0.0678817592514343,"#4A1700"
"438",637,"1500",0.0689649662278927,"#4A1700"
"439",638,"1500",0.0700611191556237,"#4A1700"
"440",639,"1500",0.0711703090198942,"#4A1700"
"441",640,"1500",0.0722926267094173,"#4A1700"
"442",641,"1500",0.0734281630088959,"#4A1700"
"443",642,"1500",0.0745770085915839,"#4A1700"
"444",643,"1500",0.0757392540118592,"#4A1700"
"445",644,"1500",0.0769149896978057,"#4A1700"
"446",645,"1500",0.0781043059438151,"#4A1700"
"447",646,"1500",0.0793072929032007,"#4A1700"
"448",647,"1500",0.0805240405808277,"#4A1700"
"449",648,"1500",0.0817546388257643,"#4A1700"
"450",649,"1500",0.0829991773239456,"#4A1700"
"451",650,"1500",0.0842577455908632,"#4A1700"
"452",651,"1500",0.0855304329642707,"#4A1700"
"453",652,"1500",0.0868173285969127,"#4A1700"
"454",653,"1500",0.0881185214492751,"#4A1700"
"455",654,"1500",0.0894341002823595,"#4A1700"
"456",655,"1500",0.0907641536504813,"#4A1700"
"457",656,"1500",0.0921087698940941,"#4A1700"
"458",657,"1500",0.0934680371326382,"#4A1700"
"459",658,"1500",0.0948420432574183,"#4A1700"
"460",659,"1500",0.0962308759245076,"#4A1700"
"461",660,"1500",0.0976346225476802,"#4A1700"
"462",661,"1500",0.0990533702913761,"#4A1700"
"463",662,"1500",0.100487206063693,"#4A1700"
"464",663,"1500",0.101936216509412,"#4A1700"
"465",664,"1500",0.103400488003055,"#4A1700"
"466",665,"1500",0.104880106641973,"#4A1700"
"467",666,"1500",0.106375158239472,"#4A1700"
"468",667,"1500",0.107885728317974,"#4A1700"
"469",668,"1500",0.109411902102203,"#4A1700"
"470",669,"1500",0.110953764512425,"#4A1700"
"471",670,"1500",0.112511400157711,"#4A1700"
"472",671,"1500",0.114084893329239,"#4A1700"
"473",672,"1500",0.115674327993644,"#4A1700"
"474",673,"1500",0.117279787786399,"#4A1700"
"475",674,"1500",0.118901356005233,"#4A1700"
"476",675,"1500",0.120539115603602,"#4A1700"
"477",676,"1500",0.12219314918419,"#4A1700"
"478",677,"1500",0.123863538992458,"#4A1700"
"479",678,"1500",0.125550366910231,"#4A1700"
"480",679,"1500",0.127253714449333,"#4A1700"
"481",680,"1500",0.128973662745268,"#4A1700"
"482",681,"1500",0.130710292550935,"#4A1700"
"483",682,"1500",0.132463684230402,"#4A1700"
"484",683,"1500",0.134233917752717,"#4A1700"
"485",684,"1500",0.136021072685768,"#4A1700"
"486",685,"1500",0.137825228190188,"#4A1700"
"487",686,"1500",0.139646463013315,"#4A1700"
"488",687,"1500",0.141484855483191,"#4A1700"
"489",688,"1500",0.143340483502619,"#4A1700"
"490",689,"1500",0.145213424543258,"#4A1700"
"491",690,"1500",0.147103755639779,"#4A1700"
"492",691,"1500",0.149011553384067,"#4A1700"
"493",692,"1500",0.150936893919473,"#4A1700"
"494",693,"1500",0.152879852935119,"#4A1700"
